id_user,labo_name,date_created,date_last_access,statut,date_create_year,date_last_access_year
438,Aalto University School of Business,2023-09-29,2023-09-29,Researcher,2023,2023
151,AMSE – UMR7316 – Ecole d'Economie d'Aix-Marseille,2022-04-07,2022-04-07,,2022,2022
226,AMSE – UMR7316 – Ecole d'Economie d'Aix-Marseille,2018-04-01,2018-04-01,,2018,2018
227,AMSE – UMR7316 – Ecole d'Economie d'Aix-Marseille,2018-03-15,2018-03-15,,2018,2018
292,Aristotle University of Thessaloniki ,2022-11-24,2022-11-24,PhD,2022,2022
431,Arizona State University,2023-09-29,2023-09-29,Researcher,2023,2023
450,Athens University of Economics and Business,2023-09-29,2023-09-29,Researcher,2023,2023
597,Auckland University of Technology,2024-05-24,2024-05-24,Researcher,2024,2024
160,Basel University,2022-03-13,2022-03-13,,2022,2022
167,CentraleSupelec,2021-07-25,2021-07-25,,2021,2021
446,CentraleSupelec,2023-09-29,2023-09-29,Researcher,2023,2023
702,CentraleSupelec,2024-10-01,2024-10-01,Researcher,2024,2024
176,Central European University,2021-03-09,2021-03-09,Researcher,2021,2021
201,CEPN - UMR7234 - Université Paris 13,2019-03-17,2019-03-17,,2019,2019
738,"CERAG, Université Grenoble Alpes",2024-11-05,2024-11-05,PhD,2024,2024
378,Clarity AI,2023-08-24,2023-08-24,Administration,2023,2023
216,CNAM,2018-07-01,2018-07-01,Researcher,2018,2018
275,Columbia University,2022-11-08,2022-11-08,,2022,2022
204,Copenhagen Business School,2019-03-10,2019-03-10,,2019,2019
240,Copenhagen Business School,2016-08-01,2016-08-01,,2016,2016
243,Copenhagen Business School,2016-04-14,2016-04-14,,2016,2016
318,Copenhagen Business School,2022-12-12,2022-12-12,,2022,2022
319,Copenhagen Business School,2022-12-12,2022-12-12,,2022,2022
543,Copenhagen Business School,2024-01-22,2024-01-22,Researcher,2024,2024
220,CREM - UMR6211 - Rennes 1 Caen Normandie,2018-05-01,2018-05-01,Researcher,2018,2018
230,CREM - UMR6211 - Rennes 1 Caen Normandie,2017-11-01,2017-11-01,,2017,2017
172,CREST – UMR9194 – ENSAE Paris,2021-05-02,2021-05-02,,2021,2021
439,Dartmouth College,2023-09-29,2023-09-29,,2023,2023
298,DRM - UMR7088 - Université Paris Dauphine ,2022-11-24,2022-11-24,,2022,2022
208,DVRC – Pôle Universitaire Léonard de Vinci,2018-11-04,2018-11-04,,2018,2018
210,DVRC – Pôle Universitaire Léonard de Vinci,2018-11-04,2018-11-04,,2018,2018
211,DVRC – Pôle Universitaire Léonard de Vinci,2018-11-04,2018-11-04,Researcher,2018,2018
453,EBAPE - Brazilian School of Public and Business,2023-09-29,2023-09-29,Researcher,2023,2023
340,Ecole Centrale de Lyon,2023-04-06,2023-04-06,Researcher,2023,2023
212,EconomiX - UMR7235 - Université de Nanterre ,2018-10-29,2018-10-29,,2018,2018
232,EconomiX - UMR7235 - Université de Nanterre ,2017-10-01,2017-10-01,,2017,2017
736,EconomiX - UMR7235 - Université de Nanterre ,2024-10-31,2024-10-31,PhD,2024,2024
744,EconomiX - UMR7235 - Université de Nanterre ,2024-12-03,2024-12-03,Administration,2024,2024
461,EDHEC Business School,2023-10-02,2023-10-02,Researcher,2023,2023
152,ESCP,2022-04-02,2022-04-02,,2022,2022
153,ESCP,2022-03-27,2022-03-27,,2022,2022
154,ESCP,2022-03-22,2022-03-22,,2022,2022
155,ESCP,2022-03-20,2022-03-20,,2022,2022
157,ESCP,2022-03-20,2022-03-20,,2022,2022
158,ESCP,2022-03-20,2022-03-20,,2022,2022
162,ESCP,2022-01-09,2022-01-09,,2022,2022
331,ESCP,2023-02-23,2023-02-23,,2023,2023
499,ESCP,2023-10-17,2023-10-17,Researcher,2023,2023
509,ESCP,2023-12-08,2023-12-08,Student,2023,2023
707,ESCP,2024-10-15,2024-10-15,Student,2024,2024
708,ESCP,2024-10-15,2024-10-15,Student,2024,2024
709,ESCP,2024-10-15,2024-10-15,Student,2024,2024
710,ESCP,2024-10-15,2024-10-15,Student,2024,2024
711,ESCP,2024-10-15,2024-10-15,Student,2024,2024
