labo_name|statut|date_last_access_year|nb_subscribers
Aalto University School of Business|Researcher|2023|1
Aristotle University of Thessaloniki |PhD|2022|1
Arizona State University|Researcher|2023|1
Athens University of Economics and Business|Researcher|2023|1
Auckland University of Technology|Researcher|2024|1
CERAG, Université Grenoble Alpes|PhD|2024|1
CNAM|Researcher|2018|1
CREM - UMR6211 - Rennes 1 Caen Normandie|Researcher|2018|1
Central European University|Researcher|2021|1
CentraleSupelec|Researcher|2023|1
CentraleSupelec|Researcher|2024|1
Clarity AI|Administration|2023|1
Copenhagen Business School|Researcher|2024|1
DVRC – Pôle Universitaire Léonard de Vinci|Researcher|2018|1
EBAPE - Brazilian School of Public and Business|Researcher|2023|1
EDHEC Business School|Researcher|2023|1
ESCP|Researcher|2023|1
ESCP|Student|2023|1
ESCP|Student|2024|9
ESLSCA Business School Paris|Researcher|2024|1
ESSEC|PhD|2023|4
ESSEC|Researcher|2023|3
ESSEC|Student|2023|5
ESSEC|Administration|2024|1
ESSEC|PhD|2024|6
ESSEC|Researcher|2024|7
ESSEC|Student|2024|35
ESSEC|PhD|2025|1
ESSEC|Student|2025|2
Ecole Centrale de Lyon|Researcher|2023|1
EconomiX - UMR7235 - Université de Nanterre |Administration|2024|1
EconomiX - UMR7235 - Université de Nanterre |PhD|2024|1
Florida International University|Researcher|2023|1
Frankfurt School of Finance & Management|Researcher|2023|1
Ghent University|PhD|2023|1
Humboldt University|Researcher|2023|1
IAE Lille|PhD|2023|3
IAE Lille|Researcher|2023|12
IAE Lille|Student|2023|59
IAE Lille|Researcher|2024|4
IAE Lille|Student|2024|103
IAE Lille|Student|2025|18
IAE Lyon|Researcher|2023|6
IAE Lyon|Student|2023|1
IAE Paris Sorbonne Business School|Researcher|2023|2
IAE Paris Sorbonne Business School|Researcher|2024|4
IAE de Brest|Researcher|2023|1
ICN Business School|Researcher|2023|1
IESEG|Researcher|2023|1
ILB Datalab|Researcher|2022|1
Illinois Institute of Technology|Researcher|2022|1
Institute of Business Management|Researcher|2023|1
Kedge Business School|Researcher|2023|4
Kozminski University|Researcher|2023|1
Kuwait University|Researcher|2024|1
LARGE - Université de Strasbourg|Researcher|2016|1
LARGE - Université de Strasbourg|PhD|2023|1
LARGE - Université de Strasbourg|Researcher|2023|2
LARGE - Université de Strasbourg|Researcher|2024|2
LARGE - Université de Strasbourg|Student|2024|1
LEO - Laboratoire d'Economie d'Orléans|PhD|2024|1
LITEM|Researcher|2024|1
LSE - London School of Economics|Researcher|2018|1
Lancaster University|Researcher|2023|1
Le Mans Université|Researcher|2023|1
London Business School|Researcher|2023|1
Maastricht University|PhD|2024|1
Macquarie Business School|Researcher|2023|1
Massey University|Researcher|2023|1
Maynooth University|Researcher|2023|1
Montpellier Business School |Researcher|2023|1
National Kaohsiung University|Researcher|2024|1
National University of Singapore|Researcher|2024|1
National and Kapodistrian University of Athens|Researcher|2023|2
Neoma Business School|Researcher|2022|1
OpenScop|Administration|2024|1
PRISM, Université Paris 1 Panthéon-Sorbonne|Researcher|2018|1
PUC-Rio|Researcher|2024|1
Paris December Finance Meeting 2024|Researcher|2018|1
Paris December Finance Meeting 2024|PhD|2024|2
Paris December Finance Meeting 2024|Researcher|2024|93
Paris School of Business|Researcher|2023|1
PjSE – UMR8545 – Paris-Jourdan Sciences Eco|Researcher|2022|1
PjSE – UMR8545 – Paris-Jourdan Sciences Eco|PhD|2024|1
Pompeu Fabra University|Researcher|2024|1
Portland State University|Researcher|2023|1
Princeton University|Researcher|2024|1
Queen's University Belfast|Researcher|2023|1
Saint Louis University|PhD|2022|1
ShanghaiTech University|Researcher|2024|1
THEMA - UMR8184 - Université de Cergy-Pontoise |Researcher|2022|1
Texas A&M University|Researcher|2023|1
The Pennsylvania State University|PhD|2025|1
The University of Hong Kong (HKU)|PhD|2023|1
The University of Hong Kong (HKU)|Researcher|2023|1
Tuck School of Business at Dartmouth College|Researcher|2023|1
UNSW Sydney|Researcher|2023|1
UNSW Sydney|Student|2024|1
Universidad de Castilla - La Mancha|Researcher|2023|1
Universidad de Chile|Researcher|2023|1
University of Augsburg|PhD|2022|1
University of Chittagong|Researcher|2023|1
University of Lausanne|Researcher|2024|1
University of Luxembourg|Researcher|2024|1
University of Mannheim|Researcher|2022|1
University of Nebraska-Lincoln|Researcher|2023|1
University of New England|Researcher|2022|1
University of New South Wales|Researcher|2024|1
University of North Texas|Researcher|2024|1
University of Ottawa|Researcher|2023|1
University of Perugia|Researcher|2023|1
University of Portsmouth|Researcher|2022|1
University of South Carolina|Researcher|2023|1
University of Sydney|PhD|2024|1
University of Texas at Arlington|Researcher|2021|1
University of Warwick|PhD|2022|1
University of Warwick|Researcher|2022|1
University of Warwick|Researcher|2023|1
Università di Padova|Researcher|2024|1
Université Laval|Researcher|2023|2
Université Paris 1 Panthéon-Sorbonne |Researcher|2024|1
Université Paris Nanterre|Researcher|2023|1
Université Paris-Saclay|Student|2022|1
Université Paris-Saclay|PhD|2023|1
Université Paris-Saclay|Researcher|2023|4
Université Paris-Saclay|Student|2023|1
Université catholique de Lyon|Researcher|2024|1
Université de Montréal|Administration|2023|1
Université de Montréal|Researcher|2024|3
Université de Montréal|Student|2024|2
Université de Sherbrooke|Researcher|2023|1
Université du Québec à Trois-Rivières|Administration|2023|1
Université du Québec à Trois-Rivières|Researcher|2023|1
Wilfrid Laurier University|Researcher|2018|1
XLRI - Xavier School of Management|Researcher|2023|1
Yonsei University|Researcher|2023|1
